Catalog#,Artist,Title,Label,Format,Released,release_id,CollectionFolder,Date Added,date,Time,Label1,Label2,Same_label,Format_category,Value
R-N 65,Alva Noto + Ryuichi Sakamoto,Insen,Raster-Noton,"CD, Album, RP",2010,3039112,Uncategorized,01/12/2019 00:18,12/01/2019,00:18:00,Raster-Noton,,Different,CD,2
r-n 72,Alva Noto + Ryuichi Sakamoto,revep,Raster-Noton,"CD, EP",2006,684261,Uncategorized,01/12/2019 00:18,12/01/2019,00:18:00,Raster-Noton,,Different,CD,7
R-N 76,Alva Noto + Ryuichi Sakamoto,Insen Live,Raster-Noton,"DVD-V, NTSC",2006,834270,Uncategorized,08/12/2019 15:40,12/08/2019,15:40:00,Raster-Noton,,Different,"DVD-V, NTSC",6
R-N 78,Alva Noto,Xerrox Vol.1,Raster-Noton,"CD, Album",2007,923875,Uncategorized,25/12/2019 12:56,25/12/2019,12:56:00,Raster-Noton,,Different,CD,7
R-N 91,CoH Plays Cosey Fanni Tutti,CoH Plays Cosey,Raster-Noton,"CD, Album",2008,1293951,Uncategorized,14/12/2019 17:56,14/12/2019,17:56:00,Raster-Noton,,Different,CD,5
r-n 96,Alva Noto + Ryuichi Sakamoto With Ensemble Modern,utp_,Raster-Noton,"DVD, Multichannel, NTSC + CD",2009,1750447,Uncategorized,23/11/2019 20:24,23/11/2019,20:24:00,Raster-Noton,,Different,CD,7
"R-N 85, r-n 85",CoH,Strings,"Raster-Noton, Raster-Noton","xCD, Album",2007,1087612,Uncategorized,25/12/2019 12:57,25/12/2019,12:57:00,Raster-Noton,Raster-Noton,Same,CD,2
"R-N 092, RN92, r-n 92",Byetone,Death Of A Typographer,"Raster-Noton, Raster-Noton, Raster-Noton","CD, Album",2008,1366230,Uncategorized,07/12/2019 22:54,12/07/2019,22:54:00,Raster-Noton,"Raster-Noton, Raster-Noton",Different,CD,4
R8,Ian William Craig,A Turn Of Breath,Recital (2),"xLP, Album, Ltd, Ext",2018,12220372,Uncategorized,23/11/2019 21:18,23/11/2019,21:18:00,Recital (2),,Different,LP,38
Recital Forty Five,Sarah Davachi,Let Night Come On Bells End The Day,Recital (2),"LP, Album, Ltd, RP",2019,14385238,Uncategorized,22/11/2019 18:08,22/11/2019,18:08:00,Recital (2),,Different,LP,10
Recital Seventy,Daniel W. Schmidt And The Berkeley Gamelan Ensemble,Abies Firma,Recital (2),"LP, Album, Ltd + CD, Album, Ltd",2019,14374553,Uncategorized,22/11/2019 14:04,22/11/2019,14:04:00,Recital (2),,Different,CD,24
REC-27,Sébastien Tellier,Sessions,Record Makers,"CD, Album, Dig",2006,639747,Uncategorized,12/09/2023 00:57,09/12/2023,00:57:00,Record Makers,,Different,CD,7
"RSQ011, hush 006",Gravenhurst,Internal Travels,"Red Square, Silent Age","CD, Album, RE",2002,934894,Uncategorized,12/09/2023 01:29,09/12/2023,01:29:00,Red Square,Silent Age,Different,CD,7
RER NECKS 12,The Necks,Vertigo,ReR Megacorp,"LP, Album",2015,7725457,Uncategorized,23/11/2019 18:31,23/11/2019,18:31:00,ReR Megacorp,,Different,LP,38
RER NECKS 13,The Necks,Body,ReR Megacorp,"CD, Album",2018,12383744,Uncategorized,28/11/2019 23:24,28/11/2019,23:24:00,ReR Megacorp,,Different,CD,7
