Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
REWIGCD 29,The Third Eye Foundation,Collected Works: Ghost / You Guys Kill Me / Little Lost Soul,Domino,"3xCD, Album, Comp",,2006,848010,Uncategorized,12/09/2023 01:09,,,
wigCD126,Four Tet,Rounds,Domino,"CD, Album",,2003,843752,Uncategorized,07/12/2019 22:19,,,
WIGCD76,Smog,Dongs Of Sevotion,Domino,"CD, Album",,2000,234538,Uncategorized,01/12/2019 00:22,,,
wigCD79,Movietone,The Blossom Filled Streets,Domino,"CD, Album",,2000,537771,Uncategorized,07/12/2019 23:06,,,
WIGCD99,Smog,Rain On Lens,Domino,"CD, Album",,2001,717407,Uncategorized,20/12/2019 10:41,,,
"wigcd131, wiglp131",Movietone,The Sand And The Stars,"Domino, Domino","CD, Album",,2003,594612,Uncategorized,07/12/2019 22:59,,,
"WIGCD196, WIG1CD96",Fridge,The Sun,"Domino, Domino","CD, Album",,2007,1636257,Uncategorized,25/12/2019 12:53,,,
"WIGLP389, WIGLP389X, WIGLP389X-CD",Shirley Collins,Lodestar,"Domino, Domino, Domino","LP, Album, Dlx, Ltd, Hea + CD, Album",,2016,9298463,Uncategorized,22/11/2019 16:26,,,
DG-121,Moor Mother,Fetish Bones,Don Giovanni Records,"LP, Album",,2016,9221679,Uncategorized,22/11/2019 15:00,,,
DG-197,Moor Mother,Circuit City,Don Giovanni Records,"LP, Album, Ltd, Ora",,2021,17270386,Uncategorized,18/02/2021 02:10,,,
DOZ401,Pierre Schaeffer & Pierre Henry / Pierre Henry,Symphonie Pour Un Homme Seul / Concerto Des Ambiguïtés,Doxy,"LP, Album, RE, Vir",,2009,1841591,Uncategorized,22/11/2019 18:13,,,
"DOZ424, DOZ424 LP",Pierre Henry,Le Voyage,"Doxy, Doxy","LP, RE",,2013,4701579,Uncategorized,22/11/2019 23:18,,,
DC249CD,Ghost (2),Hypnotic Underworld,Drag City,"CD, Album",,2004,894388,Uncategorized,28/11/2019 23:29,,,
DC390CD,Joanna Newsom,Have One On Me,Drag City,"3xCD, Album + Box",,2010,2148029,Uncategorized,08/12/2019 15:37,,,
DC691,Circuit Des Yeux,Reaching For Indigo ,Drag City,"LP, Album",,2017,11033942,Uncategorized,22/11/2019 23:34,,,
DC853,Oren Ambarchi,Shebang,Drag City,"LP, Album",,2022,24675032,Uncategorized,08/10/2022 11:01,,,
Durtrousa 001,Current 93,Soft Black Stars,Durtro,"CD, Album, RE",,2005,615755,Uncategorized,25/11/2019 00:15,,,
ECL-036,Marissa Nadler,Ballads Of Living And Dying,Eclipse Records (3),"CD, Album",,2004,705657,Uncategorized,12/09/2023 01:16,,,
ECL-044,Marissa Nadler,The Saga Of Mayflower May,Eclipse Records (3),"CD, Album",,2005,603644,Uncategorized,12/09/2023 01:15,,,
"ECM 1675, 547 949-2",Keith Jarrett,"The Melody At Night, With You","ECM Records, ECM Records","CD, Album, RE, RP",,0,22138798,Uncategorized,12/09/2023 01:24,,,
"ECM 1684, 314 543 159-2","Ketil Bjørnstad, David Darling",Epigraphs,"ECM Records, ECM Records","CD, Album",,2000,6723190,Uncategorized,07/12/2019 23:05,,,
"ECM 2086, 178 0116",Arve Henriksen,Cartography,"ECM Records, ECM Records","CD, Album",,2008,1540735,Uncategorized,24/11/2019 18:48,,,
"ECM 2589, 770 5563","Andrew Cyrille, Wadada Leo Smith, Bill Frisell",Lebroba,"ECM Records, ECM Records","LP, Album",,2018,12873573,Uncategorized,24/08/2021 17:57,,,
ELP050,Maxwell Sterling,Laced With Rumour: Loud-Speaker Of Truth,Ecstatic,"LP, Album, Sil",,2020,15243199,Uncategorized,12/05/2020 10:53,,,
EG01,Pat Thomas & XT (2),"""Akisakila"" / Attitudes​ ​Of Preparation (Mountains, Oceans, Trees) ",Edition Gamut,"2xLP, Album, Ltd",,2022,24433430,Uncategorized,16/10/2022 03:53,,,
Editions Mego 035,Fennesz,Endless Summer,Editions Mego,"CD, Album, RE, RM",,2006,864388,Uncategorized,25/12/2019 12:50,,,
EDITIONS mego 227,Oren Ambarchi,Hubris,Editions Mego,"LP, Album",,2016,9225304,Uncategorized,22/11/2019 23:40,,,
eMEGO 082,Marcus Schmickler,Altars Of Science,Editions Mego,"Hybrid, DVDplus, Album",,2007,1118094,Uncategorized,20/12/2019 10:49,,,
eMEGO 087,Angel (3),Kalmukia,Editions Mego,"CD, Album",,2008,1237596,Uncategorized,25/12/2019 12:54,,,
eMEGO 093,Angel (3),Hedonism,Editions Mego,"CD, Album",,2008,1556819,Uncategorized,25/11/2019 00:12,,,
EMEGO 239,UUUU (2),UUUU,Editions Mego,2xLP,,2017,10968446,Uncategorized,22/11/2019 17:38,,,
EMEGO 245,CoH,CoHgs,Editions Mego,"LP, Comp, RM",,2017,11102449,Uncategorized,22/11/2019 23:33,,,
EMEGO 259,Caterina Barbieri (2),Ecstatic Computation,Editions Mego,"LP, Album",,2019,13532945,Uncategorized,22/11/2019 23:38,,,
EMEGO 264,Oren Ambarchi,Simian Angel,Editions Mego,"LP, Album",,2019,13762726,Uncategorized,03/11/2019 11:00,,,
EMEGO 279,Caterina Barbieri (2),Fantas Variations,Editions Mego,"2xLP, Album",,2021,18796819,Uncategorized,02/07/2021 06:01,,,
eMego 3154,Fenn O'Berg,Magic & Return,Editions Mego,"2xCD, Comp, RM",,2009,1852961,Uncategorized,07/12/2019 22:15,,,
7559-61913-2,Nada Surf,High/Low,Elektra,"CD, Album",,1996,1148164,Uncategorized,07/12/2019 22:47,,,
